artist,song,e_label,v_label
Sugababes,Too Lost In You,2.0,1.0
Snoop Dogg,Drop It Like It's Hot,1.0,2.0
Sean Paul,I'm Still in Love with You (feat. Sasha),1.0,2.0
The Shapeshifters,Lola's Theme - Radio Edit,2.0,1.0
D12,How Come,2.0,1.0
Basement Jaxx,Good Luck,2.0,0.0
Kevin Lyttle,Turn Me On,2.0,2.0
Chingy,One Call Away,2.0,2.0
T.I.,Bring Em Out,2.0,1.0
DJ Casper,Cha Cha Slide - Hardino Mix,2.0,2.0
Kylie Minogue,I Believe in You,2.0,1.0
Twista,Overnight Celebrity,2.0,2.0
N.E.R.D,She Wants To Move,2.0,2.0
Britney Spears,Everytime,0.0,0.0
U2,Vertigo,2.0,1.0
Franz Ferdinand,Take Me Out,1.0,1.0
J-Kwon,Tipsy - Club Mix,2.0,1.0
G-Unit,Wanna Get To Know You,2.0,2.0
Lil' Flip,Sunshine (feat. Lea),1.0,2.0
Kanye West,Jesus Walks,2.0,2.0
Evanescence,My Immortal,0.0,0.0
Nelly,My Place,1.0,1.0
Lemar,If There's Any Justice,1.0,1.0
No Doubt,It's My Life,2.0,2.0
Avril Lavigne,Don't Tell Me,2.0,1.0
Twista,Slow Jamz,2.0,1.0
Green Day,American Idiot,2.0,2.0
Kelis,Millionaire,2.0,2.0
Scissor Sisters,Comfortably Numb,2.0,2.0
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),1.0,0.0
Kanye West,Through The Wire,2.0,1.0
Special D.,Come With Me - Radio Edit,2.0,1.0
Ludacris,Splash Waterfalls,2.0,2.0
Avril Lavigne,My Happy Ending,2.0,2.0
Dido,White Flag,1.0,0.0
Eamon,Fuck It (I Don't Want You Back),1.0,1.0
Beyoncé,"Me, Myself and I",1.0,1.0
3 Doors Down,Here Without You,1.0,0.0
Kanye West,All Falls Down,2.0,1.0
Twista,Sunshine (feat. Anthony Hamilton),2.0,2.0
Katie Melua,The Closest Thing to Crazy,0.0,0.0
Usher,My Boo,1.0,2.0
Lloyd,Southside,1.0,1.0
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,2.0,2.0
The Streets,Fit but You Know It,2.0,2.0
JUVENILE,Slow Motion,2.0,2.0
Outkast,The Way You Move (feat. Sleepy Brown),1.0,1.0
Girls Aloud,Love Machine,2.0,2.0
Jessica Simpson,With You,2.0,1.0
Eminem,Like Toy Soldiers,2.0,1.0
Gary Jules,Mad World (Feat. Michael Andrews),0.0,0.0
Ashlee Simpson,Pieces Of Me,2.0,2.0
Will Young,Leave Right Now,1.0,1.0
Alicia Keys,You Don't Know My Name,1.0,0.0
Mariah Carey,We Belong Together,1.0,2.0
Mario,Let Me Love You,1.0,1.0
Kanye West,Gold Digger,2.0,1.0
Rihanna,Pon de Replay,1.0,1.0
50 Cent,Candy Shop,1.0,2.0
James Blunt,You're Beautiful,1.0,1.0
Green Day,Boulevard of Broken Dreams,2.0,1.0
The Pussycat Dolls,Don't Cha,1.0,1.0
Daniel Powter,Bad Day,2.0,1.0
Akon,Bananza (Belly Dancer),2.0,1.0
Madonna,Hung Up,1.0,1.0
50 Cent,Just A Lil Bit,2.0,1.0
Crazy Frog,Axel F,2.0,2.0
Eminem,Ass Like That,2.0,2.0
Sean Paul,We Be Burnin',2.0,2.0
Gwen Stefani,Rich Girl,2.0,2.0
The Chemical Brothers,Galvanize,2.0,1.0
Fort Minor,Remember the Name (feat. Styles of Beyond),2.0,2.0
50 Cent,Disco Inferno,1.0,2.0
The Game,How We Do,1.0,1.0
Chris Brown,Run It! (feat. Juelz Santana),1.0,0.0
Mariah Carey,It's Like That,1.0,2.0
Black Eyed Peas,My Humps,2.0,1.0
